true_model,nll_bias_guess,nll_gcc_eq_1,nll_gcc_eq_2,nll_gcc_eq_3,nll_glc_0,nll_rand_guess,nll_unix_0,nll_unix_1,nll_uniy_0
nll_bias_guess,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
nll_gcc_eq_2,0.0,0.0,0.8,0.0,0.2,0.0,0.0,0.0,0.0
nll_gcc_eq_3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
nll_glc_0,0.0,0.0,0.0,0.0,0.88,0.0,0.0,0.08,0.04
nll_rand_guess,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nll_unix_0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0
nll_unix_1,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.7777777777777778,0.0
nll_uniy_0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.9
