true_model,nll_gcc_eq_0,nll_gcc_eq_1,nll_gcc_eq_2,nll_gcc_eq_3,nll_glc_0,nll_glc_1
nll_gcc_eq_0,0.7586666666666667,0.025333333333333333,0.018666666666666668,0.004,0.012,0.18133333333333335
nll_gcc_eq_1,0.028,0.88,0.010666666666666666,0.02266666666666667,0.0,0.058666666666666666
nll_gcc_eq_2,0.024,0.012,0.8893333333333333,0.02,0.05466666666666667,0.0
nll_gcc_eq_3,0.008,0.02266666666666667,0.009333333333333334,0.748,0.19333333333333333,0.018666666666666668
nll_glc_0,0.0,0.0,0.0022222222222222222,0.06111111111111111,0.9355555555555556,0.0011111111111111111
nll_glc_1,0.06,0.0,0.0,0.0,0.0011111111111111111,0.9388888888888889
