experiment,condition,subject,block,rep,chunk_index,num_chunks,true_model,recovered_model,true_family,recovered_family,success_strict,success_family
1,new_learn,4,6,0,1,4,nll_rand_guess,nll_rand_guess,guessing,guessing,1,1
1,new_learn,12,6,0,1,4,nll_unix_0,nll_unix_0,rule-based,rule-based,1,1
1,new_learn,20,6,0,1,4,nll_glc_0,nll_glc_0,procedural,procedural,1,1
1,new_learn,32,6,0,1,4,nll_unix_0,nll_unix_0,rule-based,rule-based,1,1
1,new_learn,40,6,0,1,4,nll_rand_guess,nll_rand_guess,guessing,guessing,1,1
1,relearn,7,6,0,1,4,nll_glc_0,nll_glc_0,procedural,procedural,1,1
1,relearn,15,6,0,1,4,nll_gcc_eq_2,nll_gcc_eq_2,procedural,procedural,1,1
1,relearn,23,6,0,1,4,nll_glc_0,nll_glc_0,procedural,procedural,1,1
1,relearn,31,6,0,1,4,nll_glc_0,nll_glc_0,procedural,procedural,1,1
1,relearn,39,6,0,1,4,nll_glc_0,nll_glc_0,procedural,procedural,1,1
2,new_learn,48,6,0,1,4,nll_rand_guess,nll_rand_guess,guessing,guessing,1,1
2,new_learn,56,6,0,1,4,nll_rand_guess,nll_rand_guess,guessing,guessing,1,1
2,new_learn,66,6,0,1,4,nll_gcc_eq_3,nll_gcc_eq_3,procedural,procedural,1,1
2,new_learn,74,6,0,1,4,nll_bias_guess,nll_bias_guess,guessing,guessing,1,1
2,relearn,41,6,0,1,4,nll_glc_0,nll_glc_0,procedural,procedural,1,1
2,relearn,49,6,0,1,4,nll_rand_guess,nll_rand_guess,guessing,guessing,1,1
2,relearn,59,6,0,1,4,nll_gcc_eq_2,nll_glc_0,procedural,procedural,0,1
2,relearn,69,6,0,1,4,nll_glc_0,nll_glc_0,procedural,procedural,1,1
2,relearn,79,6,0,1,4,nll_unix_1,nll_glc_0,rule-based,procedural,0,0
