experiment,condition,subject,block,rep,chunk_index,num_chunks,true_model,recovered_model,true_family,recovered_family,success_strict,success_family
1,new_learn,8,6,0,3,4,nll_uniy_0,nll_uniy_0,rule-based,rule-based,1,1
1,new_learn,16,6,0,3,4,nll_rand_guess,nll_rand_guess,guessing,guessing,1,1
1,new_learn,28,6,0,3,4,nll_rand_guess,nll_rand_guess,guessing,guessing,1,1
1,new_learn,36,6,0,3,4,nll_rand_guess,nll_rand_guess,guessing,guessing,1,1
1,relearn,3,6,0,3,4,nll_gcc_eq_2,nll_gcc_eq_2,procedural,procedural,1,1
1,relearn,11,6,0,3,4,nll_unix_1,nll_unix_1,rule-based,rule-based,1,1
1,relearn,19,6,0,3,4,nll_glc_0,nll_glc_0,procedural,procedural,1,1
1,relearn,27,6,0,3,4,nll_rand_guess,nll_rand_guess,guessing,guessing,1,1
1,relearn,35,6,0,3,4,nll_gcc_eq_2,nll_gcc_eq_2,procedural,procedural,1,1
2,new_learn,44,6,0,3,4,nll_rand_guess,nll_rand_guess,guessing,guessing,1,1
2,new_learn,52,6,0,3,4,nll_uniy_0,nll_uniy_0,rule-based,rule-based,1,1
2,new_learn,62,6,0,3,4,nll_glc_0,nll_glc_0,procedural,procedural,1,1
2,new_learn,70,6,0,3,4,nll_uniy_0,nll_gcc_eq_3,rule-based,procedural,0,0
2,new_learn,78,6,0,3,4,nll_rand_guess,nll_rand_guess,guessing,guessing,1,1
2,relearn,45,6,0,3,4,nll_bias_guess,nll_bias_guess,guessing,guessing,1,1
2,relearn,55,6,0,3,4,nll_glc_0,nll_glc_0,procedural,procedural,1,1
2,relearn,63,6,0,3,4,nll_unix_1,nll_unix_1,rule-based,rule-based,1,1
2,relearn,73,6,0,3,4,nll_glc_0,nll_glc_0,procedural,procedural,1,1
