experiment,condition,subject,trial,cat,x,y,xt,yt,resp,rt,fb
2,relearn,5,0,D,71.28388441894282,38.32271988098196,3.564194220947141,0.6019718762183622,A,22142,Incorrect
2,relearn,5,1,C,49.65858548857588,58.30117956544802,2.482929274428794,0.9157927870921543,B,3334,Incorrect
2,relearn,5,2,A,2.486125491605037,44.938901907253374,0.12430627458025185,0.7058986204610976,B,3263,Incorrect
2,relearn,5,3,C,59.71408589058419,39.790385525882556,2.9857042945292096,0.6250259142580913,C,3148,Correct
2,relearn,5,4,D,36.06555581582419,17.598121994562476,1.8032777907912094,0.27643065387547217,C,4655,Incorrect
2,relearn,5,5,B,44.61844055707115,63.15311786254155,2.2309220278535578,0.9920068556412545,C,1924,Incorrect
2,relearn,5,6,A,16.57880656391866,30.707389133742698,0.8289403281959331,0.4823505405674455,A,3480,Correct
2,relearn,5,7,D,33.651819832496514,15.897510047502786,1.6825909916248258,0.24971750387802338,C,3667,Incorrect
2,relearn,5,8,B,57.74280137565741,51.5254975047995,2.88714006878287,0.8093606221681867,C,2039,Incorrect
2,relearn,5,9,B,62.73969602052591,70.51122777683256,3.1369848010262955,1.1075877758964685,D,4367,Incorrect
2,relearn,5,10,B,73.05673528517706,64.8809919538989,3.652836764258853,1.0191482383999362,B,4636,Correct
2,relearn,5,11,A,45.65854369961359,54.81356791601108,2.282927184980679,0.8610095114099279,C,3172,Incorrect
2,relearn,5,12,D,59.16134348214795,46.30327387387857,2.958067174107397,0.7273301251966656,B,1838,Incorrect
2,relearn,5,13,A,23.010131330011706,57.96456700746292,1.1505065665005854,0.910505289395794,A,3111,Correct
2,relearn,5,14,A,16.03745992209927,54.35520118380117,0.8018729961049635,0.8538095036171248,A,1677,Correct
2,relearn,5,15,D,67.79360362821298,5.197103513298622,3.3896801814106485,0.08163591108662327,D,2636,Correct
2,relearn,5,16,A,36.658649796552325,72.71162284778646,1.832932489827616,1.1421515008459882,C,1991,Incorrect
2,relearn,5,17,D,42.59554101110435,46.72966273157796,2.1297770505552176,0.7340278257112703,B,2563,Incorrect
2,relearn,5,18,D,61.181929089557016,39.56283164863758,3.0590964544778507,0.621451506312848,C,3255,Incorrect
2,relearn,5,19,B,30.35735386654528,65.91235797317471,1.5178676933272641,1.0353488979465315,C,5750,Incorrect
2,relearn,5,20,A,15.00711850886707,33.37653444385623,0.7503559254433534,0.5242773770555271,A,1836,Correct
2,relearn,5,21,C,58.008752775137,51.68437544547533,2.90043763875685,0.8118562710244099,D,6897,Incorrect
2,relearn,5,22,B,37.67729344274653,88.40625884844124,1.8838646721373267,1.3886822666481033,C,3094,Incorrect
2,relearn,5,23,B,27.198241085700364,79.33312508587585,1.359912054285018,1.2461618147805387,B,2805,Correct
2,relearn,5,24,C,66.29741425179328,58.69092790072497,3.314870712589664,0.9219149396264288,B,2784,Incorrect
2,relearn,5,25,B,46.1968054810728,58.91967685944179,2.30984027405364,0.9255081198675343,C,2083,Incorrect
2,relearn,5,26,A,34.57828340317308,35.132840790989796,1.7289141701586541,0.5518653726435668,B,2648,Incorrect
2,relearn,5,27,A,42.53935461145717,61.71057692359058,2.1269677305728583,0.9693474755596999,D,1789,Incorrect
2,relearn,5,28,C,73.75028230292989,32.411514313909635,3.6875141151464947,0.5091188763014947,D,2645,Incorrect
2,relearn,5,29,B,51.72173298277737,101.1745472765715,2.5860866491388688,1.5892460722717512,C,3055,Incorrect
2,relearn,5,30,A,-0.5086812098638731,43.299734716647215,-0.025434060493193654,0.6801506424410291,D,2508,Incorrect
2,relearn,5,31,A,13.692257055672,29.958379308608954,0.6846128527836,0.47058512174691175,A,1420,Correct
2,relearn,5,32,C,68.26240351984255,28.577761298625155,3.4131201759921277,0.4488984247590174,D,3085,Incorrect
2,relearn,5,33,B,66.87222974631624,57.72351776695287,3.343611487315812,0.9067188967800951,A,2854,Incorrect
2,relearn,5,34,B,37.340401012101886,97.08166652830401,1.8670200506050945,1.5249552518178702,D,2183,Incorrect
2,relearn,5,35,A,36.7922902737387,55.946963417583945,1.839614513686935,0.8788128463166932,D,1918,Incorrect
2,relearn,5,36,A,29.01449843820182,59.80634900094543,1.450724921910091,0.9394359332969872,D,1246,Incorrect
2,relearn,5,37,B,64.62744801403713,52.67178310291508,3.231372400701856,0.827366434237965,D,1268,Incorrect
2,relearn,5,38,D,60.25653955790129,17.740034053431973,3.012826977895065,0.2786598032834733,C,1911,Incorrect
2,relearn,5,39,C,82.05979589852443,73.41107312287407,4.102989794926222,1.1531384400748215,B,1492,Incorrect
2,relearn,5,40,B,39.31107550426887,98.29897045245231,1.9655537752134435,1.5440766171443214,B,1510,Correct
2,relearn,5,41,B,54.716732175790156,56.99277052992946,2.735836608789508,0.8952403460227761,D,3143,Incorrect
2,relearn,5,42,B,31.394068671317626,69.61900470523334,1.5697034335658813,1.0935727686609715,B,3278,Correct
2,relearn,5,43,A,10.708287010470075,28.247265997989093,0.5354143505235037,0.4437070167163964,A,2389,Correct
2,relearn,5,44,B,45.73243500988454,63.40783324550505,2.286621750494227,0.9960079155206267,C,2998,Incorrect
2,relearn,5,45,C,85.19373073649757,41.32941344211801,4.259686536824878,0.6492009082346659,C,2918,Correct
2,relearn,5,46,A,26.958529976811153,26.474445706770606,1.3479264988405577,0.4158596207012619,D,3133,Incorrect
2,relearn,5,47,A,42.658892117035464,31.597160534958984,2.1329446058517734,0.4963270370546224,C,2167,Incorrect
2,relearn,5,48,B,49.9394649308857,85.12261815603051,2.4969732465442847,1.3371029592665729,B,2230,Correct
2,relearn,5,49,D,67.29179559138564,19.769935410594933,3.3645897795692816,0.31054541923934875,D,2187,Correct
2,relearn,5,50,C,98.37359798806585,53.709520688856124,4.918679899403292,0.8436671781196969,D,2511,Incorrect
2,relearn,5,51,A,4.907094882941703,67.63004405013092,0.24535474414708514,1.062330247749227,A,1700,Correct
2,relearn,5,52,C,66.6820616675688,36.175990283792274,3.33410308337844,0.5682511265594877,C,1681,Correct
2,relearn,5,53,B,69.80375526263816,76.70509811145905,3.490187763131908,1.2048808635992203,C,1462,Incorrect
2,relearn,5,54,B,55.4273771925045,61.22451735592487,2.771368859625225,0.9617124697247716,C,1660,Incorrect
2,relearn,5,55,A,33.48555689605759,32.99553126884147,1.6742778448028792,0.5182925931774233,B,2205,Incorrect
2,relearn,5,56,C,53.46484598170642,47.48062768338175,2.6732422990853206,0.7458239555897213,C,1549,Correct
2,relearn,5,57,D,45.115448565916395,13.8612967619627,2.2557724282958196,0.21773274038305002,D,2911,Correct
2,relearn,5,58,C,63.29256374147937,33.17011402727249,3.1646281870739688,0.521034932734075,C,2381,Correct
2,relearn,5,59,B,66.89395803846499,92.28575638800847,3.344697901923249,1.4496212714977235,B,2323,Correct
2,relearn,5,60,C,97.81679444560481,42.205197891071194,4.890839722280241,0.6629576981894635,D,1920,Incorrect
2,relearn,5,61,B,41.97762124863942,82.6583792500736,2.098881062431971,1.2983947850483508,B,1653,Correct
2,relearn,5,62,D,50.903432447096016,-0.16860564658533406,2.545171622354801,-0.002648451303331212,C,4709,Incorrect
2,relearn,5,63,C,61.59868976156902,42.74084801672367,3.0799344880784507,0.6713716706876848,C,2581,Correct
2,relearn,5,64,C,86.0732220056261,44.95077350269098,4.303661100281306,0.7060850990461636,D,1505,Incorrect
2,relearn,5,65,D,55.870611263940134,48.03989924895377,2.793530563197007,0.7546089727985349,C,1596,Incorrect
2,relearn,5,66,D,54.65385746071725,45.14355393068487,2.7326928730358624,0.7091132869278711,B,3077,Incorrect
2,relearn,5,67,A,27.395252733035587,76.60536159994052,1.3697626366517792,1.2033142061398139,A,2038,Correct
2,relearn,5,68,A,13.601766350436947,34.72595257166196,0.6800883175218473,0.545473987440204,A,1431,Correct
2,relearn,5,69,A,42.33108516169682,36.48121483623112,2.116554258084841,0.5730455826176732,D,7739,Incorrect
2,relearn,5,70,D,46.64129810973603,2.6069003560634876,2.3320649054868015,0.040949095036248336,D,5253,Correct
2,relearn,5,71,D,54.36514326651674,37.22187509698733,2.718257163325837,0.5846798467876613,C,1934,Incorrect
2,relearn,5,72,D,69.02826995940518,31.713090854915947,3.451413497970259,0.4981480662621479,C,2088,Incorrect
2,relearn,5,73,B,33.634837112043385,93.58771651095512,1.6817418556021693,1.4700724132853038,B,3276,Correct
2,relearn,5,74,C,80.82401986405044,48.74387054516855,4.041200993202522,0.765666928061167,A,2760,Incorrect
2,relearn,5,75,A,12.621266720805991,34.06294276180303,0.6310633360402995,0.5350594537006501,A,1125,Correct
2,relearn,5,76,C,50.90130899880593,49.77124621618891,2.5450654499402963,0.7818049073639395,B,7715,Incorrect
2,relearn,5,77,B,52.93035993346894,94.41323366644536,2.646517996673447,1.4830396064408062,B,2991,Correct
2,relearn,5,78,B,35.27644612410147,61.144116354067506,1.7638223062050735,0.9604495337408901,D,4622,Incorrect
2,relearn,5,79,A,34.64366128843322,27.234042403139323,1.7321830644216611,0.4277913377062771,C,1462,Incorrect
2,relearn,5,80,A,10.31980313784988,30.671692312282,0.515990156892494,0.4817898162071584,A,1230,Correct
2,relearn,5,81,B,26.088641900249335,81.86150817151751,1.3044320950124668,1.2858775634171011,B,2189,Correct
2,relearn,5,82,D,66.97909789235258,38.25759011132412,3.348954894617629,0.6009488201889268,C,15421,Incorrect
2,relearn,5,83,D,59.19515784650016,6.25003474792155,2.959757892325008,0.09817531624375636,D,2625,Correct
2,relearn,5,84,B,35.81507621608941,83.91066326250714,1.7907538108044705,1.318065616316697,B,2211,Correct
2,relearn,5,85,A,10.865324215919417,31.586416793658245,0.5432662107959708,0.49615827476091007,A,1332,Correct
2,relearn,5,86,D,41.51297123331072,21.402178793085312,2.0756485616655365,0.33618463833586043,D,4959,Correct
2,relearn,5,87,B,50.52063727175294,91.97753756730988,2.526031863587647,1.4447797815836998,B,1933,Correct
2,relearn,5,88,C,91.35358096215722,57.559764277645336,4.567679048107862,0.9041466629850539,C,2326,Correct
2,relearn,5,89,C,96.64577322685635,50.8255141256201,4.832288661342818,0.798365308959862,C,1150,Correct
2,relearn,5,90,D,54.204920960556116,39.57768852345433,2.710246048027806,0.621684877556746,B,4597,Incorrect
2,relearn,5,91,A,28.328519408683494,76.09126606209999,1.4164259704341748,1.1952388123151985,B,2004,Incorrect
2,relearn,5,92,D,53.81622413545388,49.4187544846,2.6908112067726937,0.776267980191885,C,2157,Incorrect
2,relearn,5,93,B,35.36038966907784,76.41638779888994,1.768019483453892,1.2003458126143067,B,2000,Correct
2,relearn,5,94,B,44.803827024689056,57.10221374732423,2.2401913512344525,0.8969594760615394,B,4013,Correct
2,relearn,5,95,C,89.21807268844924,44.43527837810765,4.460903634422462,0.6979877205644017,C,4607,Correct
2,relearn,5,96,C,81.25693232380341,56.266146437325496,4.06284661619017,0.8838265614665466,C,1277,Correct
2,relearn,5,97,C,91.41871630961906,52.87002017049961,4.570935815480953,0.8304803348139288,C,1293,Correct
2,relearn,5,98,D,55.02244451346847,49.16961782233995,2.7511222256734236,0.7723545506524049,D,6824,Correct
2,relearn,5,99,C,90.64226372621359,69.98459040231069,4.532113186310679,1.0993153753619498,C,2781,Correct
2,relearn,5,100,D,49.96448065918415,9.435041584618524,2.4982240329592074,0.14820528664275878,D,2165,Correct
2,relearn,5,101,A,22.32668942782135,46.24199901381365,1.1163344713910675,0.7263676219455172,A,1356,Correct
2,relearn,5,102,D,44.1783193875236,48.47001363742463,2.20891596937618,0.7613651938136515,D,3797,Correct
2,relearn,5,103,D,53.688350163306666,17.63284460368524,2.684417508165333,0.27697607534413987,D,5431,Correct
2,relearn,5,104,A,37.57733460176051,61.21320853025631,1.8788667300880257,0.9615348311065665,D,2853,Incorrect
2,relearn,5,105,C,60.75106199067291,63.17999566629153,3.0375530995336453,0.9924290511952824,C,4100,Correct
2,relearn,5,106,C,74.4863186919407,41.526258760387066,3.724315934597035,0.6522929472635041,C,3535,Correct
2,relearn,5,107,D,41.86113641135421,46.01878387268786,2.0930568205677105,0.7228613667078632,B,6747,Incorrect
2,relearn,5,108,D,62.33402126253826,35.82585536922893,3.116701063126913,0.5627512201827003,C,1726,Incorrect
2,relearn,5,109,C,58.386124184221735,64.24171687712708,2.919306209211087,1.0091065289758891,C,9343,Correct
2,relearn,5,110,D,29.3077844573712,41.916606211759444,1.46538922286856,0.6584245106913987,A,2141,Incorrect
2,relearn,5,111,C,77.94559813217737,57.80276096257646,3.897279906608868,0.9079636459861855,C,5341,Correct
2,relearn,5,112,B,28.13641341526275,77.45952799876962,1.4068206707631377,1.2167314205573376,B,4109,Correct
2,relearn,5,113,C,84.53132608639075,65.51990970386903,4.226566304319538,1.029184334947708,C,2806,Correct
2,relearn,5,114,B,27.726452511803835,67.33646197449322,1.386322625590192,1.057718671288982,B,2213,Correct
2,relearn,5,115,D,47.007028487616466,47.40627364374956,2.3503514243808237,0.7446560050663553,B,4284,Incorrect
2,relearn,5,116,B,60.358408087210464,83.04077368685782,3.0179204043605234,1.3044014228152256,B,2345,Correct
2,relearn,5,117,D,73.59246785423858,32.30133313306496,3.679623392711929,0.5073881543599672,C,3020,Incorrect
2,relearn,5,118,A,2.618485028044521,44.11579713223973,0.13092425140222605,0.6929693208895099,A,3356,Correct
2,relearn,5,119,C,91.03593405570949,43.1875127838625,4.551796702785475,0.6783878644429886,C,3189,Correct
2,relearn,5,120,B,69.47210362420708,67.37512367670344,3.473605181210354,1.0583259678871761,B,2591,Correct
2,relearn,5,121,C,77.96111125887703,34.10460879929916,3.8980555629438514,0.5357139422871603,C,2780,Correct
2,relearn,5,122,C,78.24604709885307,59.65965540589159,3.9123023549426534,0.937131675694238,B,3432,Incorrect
2,relearn,5,123,D,62.422084782090394,33.316774450989094,3.1211042391045196,0.5233386692826772,C,1846,Incorrect
2,relearn,5,124,B,57.24492107398323,79.89375086556807,2.8622460536991614,1.2549681039350091,B,2940,Correct
2,relearn,5,125,A,19.802060536029224,73.95508491093895,0.9901030268014611,1.161683757259076,A,3702,Correct
2,relearn,5,126,B,24.812023349819075,71.01857876124161,1.2406011674909536,1.1155572265235238,B,2693,Correct
2,relearn,5,127,A,33.39897371883931,41.67541123609601,1.6699486859419652,0.6546358288732637,A,5349,Correct
2,relearn,5,128,A,0.1747122795110485,49.406760044246525,0.008735613975552425,0.776079571963393,A,3651,Correct
2,relearn,5,129,A,34.176053674559874,63.30833774059939,1.7088026837279937,0.9944450437842425,B,3071,Incorrect
2,relearn,5,130,C,99.6117483846932,53.74013591831387,4.98058741923466,0.844148081019459,C,2412,Correct
2,relearn,5,131,B,29.48930005998709,59.69196463869423,1.4744650029993545,0.9376391879363175,B,2277,Correct
2,relearn,5,132,D,52.023768263863595,28.58897580363831,2.6011884131931797,0.4490745817918323,D,10870,Correct
2,relearn,5,133,C,85.09828715598799,62.052316008596144,4.254914357799399,0.9747155005541899,C,3700,Correct
2,relearn,5,134,A,28.157808969055488,68.87503250448867,1.4078904484527743,1.081886480659299,B,2879,Incorrect
2,relearn,5,135,C,83.37520540194373,52.525324984837304,4.168760270097186,0.8250658754989064,C,2014,Correct
2,relearn,5,136,A,29.293367932808714,53.30858361075044,1.4646683966404357,0.8373692732240541,B,7813,Incorrect
2,relearn,5,137,B,27.26124092212593,77.93326984151835,1.3630620461062963,1.2241729400217252,B,1628,Correct
2,relearn,5,138,D,40.845967837953665,43.420362765129894,2.042298391897683,0.6820454633956794,A,5336,Incorrect
2,relearn,5,139,B,51.80870306914011,59.55553419106648,2.5904351534570056,0.9354961434763508,C,2436,Incorrect
2,relearn,5,140,C,72.81692560367064,55.80138446203165,3.640846280183532,0.8765260974302913,C,1568,Correct
2,relearn,5,141,B,64.67665456510558,62.01098688815128,3.2338327282552792,0.9740663042483454,C,1835,Incorrect
2,relearn,5,142,B,35.61968718053355,93.19144313280052,1.7809843590266778,1.463847765617185,B,2385,Correct
2,relearn,5,143,B,67.79293635057185,92.2031706459661,3.3896468175285923,1.4483240176952659,B,2219,Correct
2,relearn,5,144,C,83.4624005894844,46.4806097666971,4.17312002947422,0.7301157108871479,C,2607,Correct
2,relearn,5,145,D,44.94239829332284,31.350771054116734,2.247119914666142,0.4924567601399434,D,3070,Correct
2,relearn,5,146,A,31.87880972892442,59.3278341020643,1.593940486446221,0.931919438842196,B,5277,Incorrect
2,relearn,5,147,A,32.90795637454898,51.64400541718143,1.645397818727449,0.8112221401028433,B,3381,Incorrect
2,relearn,5,148,B,66.1582706990348,55.24581482332205,3.30791353495174,0.8677992299526534,C,1637,Incorrect
2,relearn,5,149,A,26.76073040756976,52.56849581079388,1.3380365203784879,0.8257440012472794,D,4852,Incorrect
2,relearn,5,150,D,75.91580019397811,21.10706830995485,3.7957900096989055,0.33154905370686044,C,1321,Incorrect
2,relearn,5,151,B,27.42465719683596,86.6558070030313,1.371232859841798,1.3611862333580904,B,3324,Correct
2,relearn,5,152,A,19.092524918756983,45.22447331847451,0.9546262459378491,0.7103843656989356,A,3127,Correct
2,relearn,5,153,B,76.00992046962727,77.8011255207725,3.800496023481364,1.2220972218853812,B,2029,Correct
2,relearn,5,154,C,84.46523197419067,52.578391951115435,4.223261598709533,0.8258994494559448,C,5581,Correct
2,relearn,5,155,A,6.81632718563921,47.550117408192804,0.3408163592819605,0.7469154976345532,A,1909,Correct
2,relearn,5,156,B,68.23882332711726,75.61577983512056,3.411941166355863,1.1877698921273898,B,4855,Correct
2,relearn,5,157,C,58.34256902157577,29.75097737386818,2.917128451078788,0.46732725977430223,D,2611,Incorrect
2,relearn,5,158,D,52.612251784925014,2.4323829243301027,2.6306125892462506,0.03820778162896354,D,2014,Correct
2,relearn,5,159,C,67.03224030739231,67.17972003320924,3.351612015369616,1.055256574632746,B,2445,Incorrect
2,relearn,5,160,A,16.188320643980227,59.29333425978466,0.8094160321990114,0.9313775165869174,A,1781,Correct
2,relearn,5,161,B,44.521225532761086,73.50196996649284,2.2260612766380543,1.1545662443555573,B,2173,Correct
2,relearn,5,162,D,66.47436416258432,40.2930833436418,3.323718208129216,0.6329222731143317,C,1702,Incorrect
2,relearn,5,163,B,68.42230802160277,66.47398377440749,3.4211154010801383,1.0441708954026283,B,2664,Correct
2,relearn,5,164,C,91.46111686348382,33.75858217515385,4.573055843174191,0.5302785687853534,C,1892,Correct
2,relearn,5,165,A,8.468620772866796,70.43357132279863,0.4234310386433398,1.1063679511689843,A,5312,Correct
2,relearn,5,166,C,83.80867970769562,65.53157322782037,4.1904339853847805,1.0293675451535103,C,3557,Correct
2,relearn,5,167,D,59.559632671469544,22.500608154777495,2.9779816335734774,0.3534387264017579,D,4957,Correct
2,relearn,5,168,D,62.473253489940475,26.924865597136286,3.123662674497024,0.42293479979427956,D,2578,Correct
2,relearn,5,169,D,52.795640738916205,22.733704334975595,2.63978203694581,0.3571001926382088,D,1192,Correct
2,relearn,5,170,C,81.88775325984508,39.47248666539096,4.094387662992254,0.6200323706345665,C,1661,Correct
2,relearn,5,171,B,34.2019610282223,56.90785396294595,1.7100980514111148,0.8939064797077588,B,6127,Correct
