experiment,condition,subject,trial,cat,x,y,xt,yt,resp,rt,fb
2,relearn,17,0,C,79.07265095509212,24.569377383862168,3.953632547754606,0.385934877462083,C,7288,Correct
2,relearn,17,1,A,44.192572647946676,48.33166570223345,2.209628632397334,0.7591920295294717,C,878,Incorrect
2,relearn,17,2,B,64.08874600566479,71.24495195143916,3.2044373002832396,1.1191130882799951,C,5236,Incorrect
2,relearn,17,3,A,33.48994650870898,50.57536462189746,1.6744973254354492,0.794435969743891,A,3133,Correct
2,relearn,17,4,D,50.11404483473917,34.279633202799815,2.5057022417369583,0.5384632191883433,B,2782,Incorrect
2,relearn,17,5,D,57.59964171718831,17.092822910072037,2.8799820858594156,0.2684934344169681,A,3237,Incorrect
2,relearn,17,6,A,20.83671027074535,39.70111942926657,1.0418355135372677,0.6236237256913743,A,5446,Correct
2,relearn,17,7,C,63.599815069523,61.177705564354696,3.1799907534761496,0.9609771518222806,C,725,Correct
2,relearn,17,8,A,14.063361876553019,59.60619283751858,0.703168093827651,0.9362918876340245,A,710,Correct
2,relearn,17,9,C,89.24341117738527,52.11060074669905,4.462170558869263,0.8185514023999025,C,628,Correct
2,relearn,17,10,B,59.77104313738482,70.00240831675134,2.988552156869241,1.0995952585074953,A,1423,Incorrect
2,relearn,17,11,B,66.52596796176255,85.79363162259502,3.3262983980881273,1.3476432141516674,C,636,Incorrect
2,relearn,17,12,B,33.34678377251368,69.58032892176527,1.667339188625684,1.092965250874896,A,3440,Incorrect
2,relearn,17,13,B,39.709075096519484,94.55943720253666,1.9854537548259743,1.4853361662153728,B,1018,Correct
2,relearn,17,14,B,33.030815705915,70.46735469149041,1.6515407852957502,1.1068986190834627,B,2487,Correct
2,relearn,17,15,C,69.18853992671302,68.19143562411152,3.459426996335651,1.0711485659722502,C,869,Correct
2,relearn,17,16,A,7.753755727665062,43.56456320149649,0.38768778638325313,0.684310558553348,A,1783,Correct
2,relearn,17,17,D,32.45620190295871,35.64837319437336,1.6228100951479354,0.5599633366993533,D,1819,Correct
2,relearn,17,18,B,42.989807310268375,88.28519569849333,2.1494903655134188,1.3867806111356191,C,1702,Incorrect
2,relearn,17,19,B,71.01318767615066,72.75032789686202,3.5506593838075333,1.1427594783351513,C,717,Incorrect
2,relearn,17,20,C,60.6666133725125,60.15236655808355,3.0333306686256254,0.9448711643745782,C,3751,Correct
2,relearn,17,21,B,67.44076813644851,63.87779465251949,3.372038406822426,1.003390052039363,D,1459,Incorrect
2,relearn,17,22,C,71.89257447582906,28.62170275170457,3.594628723791453,0.44958865548992927,B,1406,Incorrect
2,relearn,17,23,B,56.15671408409229,94.13606735709067,2.8078357042046145,1.4786858882343499,A,886,Incorrect
2,relearn,17,24,B,40.238810371498126,84.39940958737289,2.011940518574906,1.325742825635033,B,2711,Correct
2,relearn,17,25,A,6.6464595672716875,56.4284638865038,0.33232297836358443,0.8863762379959864,B,950,Incorrect
2,relearn,17,26,D,71.09644219474762,36.86406249877291,3.554822109737381,0.5790593396380997,C,996,Incorrect
2,relearn,17,27,D,65.09310569097937,35.438388531411654,3.2546552845489685,0.5566649053267181,C,1608,Incorrect
2,relearn,17,28,A,30.31804851220396,49.85065164241979,1.515902425610198,0.7830522048824498,A,5444,Correct
2,relearn,17,29,D,65.00163651130052,18.46413530638145,3.2500818255650255,0.29003395916707947,D,1192,Correct
2,relearn,17,30,C,53.667215463894074,48.03958186670003,2.6833607731947033,0.7546039873697514,D,1092,Incorrect
2,relearn,17,31,B,32.49595313925518,72.26730195696392,1.6247976569627587,1.1351721246137658,A,999,Incorrect
2,relearn,17,32,C,63.6580590083907,67.69417891967605,3.1829029504195354,1.0633376759242368,C,2052,Correct
2,relearn,17,33,D,48.34441353652384,35.56052958205346,2.417220676826192,0.5585834924637084,D,1109,Correct
2,relearn,17,34,D,46.262390834532304,3.2303512489555537,2.3131195417266155,0.0507422387611669,B,1237,Incorrect
2,relearn,17,35,B,41.942135283669586,91.83387704344034,2.0971067641834793,1.4425231673517027,A,856,Incorrect
2,relearn,17,36,D,26.338795410957726,20.125354843719165,1.3169397705478862,0.31612833463957946,B,757,Incorrect
2,relearn,17,37,C,82.61508053197802,66.23558900715467,4.130754026598901,1.0404261991553498,C,620,Correct
2,relearn,17,38,D,67.80521990135338,21.471370845151164,3.390260995067669,0.33727150454814486,C,687,Incorrect
