experiment,condition,subject,trial,cat,x,y,xt,yt,resp,rt,fb
2,relearn,9,0,B,55.13857879597858,66.21719817796898,2.756928939798929,1.040137316686034,A,991,Incorrect
2,relearn,9,1,D,66.35674992263799,38.50117977366669,3.317837496131899,0.604775117657456,C,820,Incorrect
2,relearn,9,2,A,41.01462503127931,60.023377168846956,2.0507312515639655,0.9428450037864945,B,1272,Incorrect
2,relearn,9,3,C,67.00497255155018,25.23911342600098,3.3502486275775087,0.396455066611221,D,758,Incorrect
2,relearn,9,4,D,53.775812996975176,25.90761534135822,2.688790649848759,0.40695587014220597,A,861,Incorrect
2,relearn,9,5,D,53.414377801727404,39.28501273689991,2.6707188900863703,0.617087537052131,A,543,Incorrect
2,relearn,9,6,C,84.7196595707083,71.42070211834275,4.235982978535415,1.1218737654460527,A,395,Incorrect
2,relearn,9,7,D,50.015699341806226,19.372331935479682,2.5007849670903113,0.30429987845702955,A,391,Incorrect
2,relearn,9,8,B,48.98563854171048,87.45094059769173,2.449281927085524,1.3736761626561287,A,589,Incorrect
2,relearn,9,9,D,37.59139458249389,15.273811677797932,1.8795697291246944,0.23992047279641987,A,500,Incorrect
2,relearn,9,10,B,41.04093859907232,55.61799041791838,2.052046929953616,0.8736453505217995,A,767,Incorrect
2,relearn,9,11,A,32.28708231582878,70.4011036689282,1.6143541157914394,1.1058579504545911,A,309,Correct
2,relearn,9,12,C,84.75694527061785,70.27053391686164,4.237847263530893,1.1038069655852245,A,1071,Incorrect
2,relearn,9,13,B,54.96876481665198,60.56092277488959,2.748438240832599,0.9512887504210596,B,1044,Correct
2,relearn,9,14,C,76.84442636726219,73.96842260150262,3.8422213183631095,1.1618932652125291,B,973,Incorrect
2,relearn,9,15,B,64.25794988371072,65.6231562852416,3.212897494185536,1.0308061284554495,C,616,Incorrect
2,relearn,9,16,C,59.416893746518056,49.229102511516714,2.9708446873259025,0.7732889339649988,B,653,Incorrect
2,relearn,9,17,C,68.74203373208343,38.12882748088624,3.4371016866041715,0.5989262215197241,B,767,Incorrect
