experiment,condition,subject,trial,cat,x,y,xt,yt,resp,rt,fb
2,new_learn,10,0,A,17.47514857315186,64.69775190108649,0.8737574286575929,1.0162699103811421,D,3081,Incorrect
2,new_learn,10,1,B,47.53793514529514,63.16918766485393,2.376896757264757,0.9922592795057005,C,844,Incorrect
2,new_learn,10,2,D,69.83126849215444,16.148594363047742,3.4915634246077216,0.25366152708376166,D,1327,Correct
2,new_learn,10,3,B,58.56921525170529,58.47813970882726,2.928460762585264,0.9185724705242464,B,1422,Correct
2,new_learn,10,4,A,47.514740859205524,56.19489255940334,2.375737042960276,0.8827073081694463,A,581,Correct
2,new_learn,10,5,A,19.378508470470855,31.757873921755202,0.9689254235235427,0.4988515170310851,C,493,Incorrect
2,new_learn,10,6,B,39.85843322547019,81.6400131143459,1.99292166127351,1.2823983271950175,B,2622,Correct
2,new_learn,10,7,D,63.95179405624554,23.609571520071153,3.1975897028122766,0.3708582822092917,D,1399,Correct
2,new_learn,10,8,C,58.45318946868923,30.51311364090586,2.9226594734344618,0.4792988682621017,D,702,Incorrect
2,new_learn,10,9,C,50.33047553068812,59.460230477789054,2.516523776534406,0.93399911624889,C,996,Correct
2,new_learn,10,10,A,36.624127929468145,61.4799657389053,1.8312063964734073,0.9657250435414854,B,856,Incorrect
2,new_learn,10,11,C,74.0465053489295,36.73208728506153,3.702325267446475,0.5769862778288418,D,683,Incorrect
2,new_learn,10,12,B,44.22627376658868,79.53824084661629,2.2113136883294344,1.2493837656159268,C,3191,Incorrect
2,new_learn,10,13,C,78.7792336236412,32.961368224153034,3.93896168118206,0.5177559613263361,D,1479,Incorrect
2,new_learn,10,14,A,29.6033923080798,31.073769110072543,1.48016961540399,0.48810562377774674,A,1420,Correct
2,new_learn,10,15,C,60.23111341529564,53.63966658723876,3.011555670764782,0.8425699124573757,C,2452,Correct
2,new_learn,10,16,A,15.465495059328584,68.20916600149052,0.7732747529664291,1.0714270740888465,A,847,Correct
2,new_learn,10,17,A,44.979849801213376,66.3348058382994,2.248992490060669,1.0419846934945338,B,598,Incorrect
2,new_learn,10,18,D,67.00565524917627,22.365789309250953,3.3502827624588134,0.35132099692839963,B,1188,Incorrect
2,new_learn,10,19,D,27.570458992221866,10.76909980841578,1.3785229496110931,0.1691606242194713,C,2632,Incorrect
2,new_learn,10,20,D,71.09801090632803,32.58738536931213,3.5549005453164013,0.5118814523796525,D,4054,Correct
2,new_learn,10,21,B,35.81860732378688,75.53418744480273,1.7909303661893439,1.1864882418573333,B,1594,Correct
2,new_learn,10,22,A,1.887712044552547,36.39478703123332,0.09438560222762735,0.5716879778314384,A,1839,Correct
2,new_learn,10,23,D,45.50152436224499,23.148426914731893,2.2750762181122495,0.3636146396874098,C,1859,Incorrect
2,new_learn,10,24,A,6.245403931161974,58.60967268621686,0.3122701965580987,0.9206385857016062,A,615,Correct
2,new_learn,10,25,D,47.166342157708435,41.88214650581094,2.358317107885422,0.6578832188961353,C,2037,Incorrect
2,new_learn,10,26,A,7.248281396760401,38.957256460199524,0.3624140698380201,0.6119391534968818,A,616,Correct
2,new_learn,10,27,D,68.20523480032308,20.318385082412945,3.410261740016154,0.3191604465385848,D,669,Correct
2,new_learn,10,28,C,55.22038239712127,59.753553529495846,2.761019119856064,0.9386066239707432,D,1836,Incorrect
2,new_learn,10,29,B,70.28482238333933,78.05432125373186,3.5142411191669667,1.2260744111583082,D,605,Incorrect
2,new_learn,10,30,C,72.2283853664841,28.213218388148764,3.611419268324205,0.4431721981116631,B,3935,Incorrect
2,new_learn,10,31,A,38.87329896697229,70.6132203517178,1.9436649483486148,1.1091898715163695,C,3549,Incorrect
2,new_learn,10,32,A,13.479055444135097,69.54195567372685,0.6739527722067549,1.0923624853042364,A,604,Correct
2,new_learn,10,33,D,53.51170003407783,21.076732111184615,2.6755850017038916,0.3310725338108884,B,7279,Incorrect
2,new_learn,10,34,D,39.83691411978443,37.38455172437601,1.9918457059892216,0.5872351652752366,B,1252,Incorrect
2,new_learn,10,35,A,23.701514246452533,26.88985221820101,1.1850757123226265,0.42238481092407754,A,600,Correct
2,new_learn,10,36,D,32.63259112417508,34.342409428235854,1.6316295562087537,0.5394493058315931,A,1260,Incorrect
2,new_learn,10,37,A,29.477198396638503,61.187440090852434,1.4738599198319253,0.961130061406938,D,1718,Incorrect
2,new_learn,10,38,C,62.39663234576981,55.62156114510088,3.1198316172884906,0.873701439373222,D,765,Incorrect
2,new_learn,10,39,A,14.661981454896091,29.231202060204193,0.7330990727448046,0.4591626482396816,A,1470,Correct
2,new_learn,10,40,D,35.67030649930524,13.01806665629673,1.783515324965262,0.20448731285682023,B,2446,Incorrect
2,new_learn,10,41,B,50.27586862385739,90.25303609650446,2.5137934311928696,1.417691375824764,C,1478,Incorrect
2,new_learn,10,42,C,80.31435152419674,30.663321173746162,4.015717576209837,0.48165832267052644,D,1004,Incorrect
2,new_learn,10,43,D,37.602865717002345,40.6349781086989,1.8801432858501173,0.6382927435253527,D,2750,Correct
2,new_learn,10,44,A,44.93603305239474,48.78661599896463,2.246801652619737,0.7663383720792677,C,990,Incorrect
2,new_learn,10,45,B,38.576807783363584,73.55605268431955,1.9288403891681793,1.1554157737006105,B,1303,Correct
2,new_learn,10,46,A,34.63337206456203,74.82825688824092,1.7316686032281015,1.1753995106051374,B,806,Incorrect
2,new_learn,10,47,B,29.86598511409025,61.83260358637083,1.4932992557045126,0.9712642658963625,C,1620,Incorrect
2,new_learn,10,48,B,52.32021153037561,99.97099191948205,2.6160105765187804,1.5703406689316466,D,1516,Incorrect
2,new_learn,10,49,D,64.1898682241459,13.130824382721762,3.209493411207295,0.20625850708168206,D,1606,Correct
2,new_learn,10,50,A,24.05815126322286,50.96640760363134,1.2029075631611432,0.800578458537156,A,646,Correct
2,new_learn,10,51,C,85.38191334283991,60.382116058918236,4.269095667141995,0.9484800610945191,D,924,Incorrect
2,new_learn,10,52,B,68.80507063410012,68.28220116362417,3.4402535317050056,1.0725743077329106,D,1048,Incorrect
2,new_learn,10,53,B,37.509603547596456,58.82300116282575,1.8754801773798226,0.9239895415761862,B,1981,Correct
2,new_learn,10,54,D,31.9375403785279,37.9142619581006,1.596877018926395,0.5955558341692391,A,2957,Incorrect
2,new_learn,10,55,D,55.560380151742834,43.54121874509113,2.7780190075871416,0.6839438646896224,C,903,Incorrect
2,new_learn,10,56,A,18.479609216378723,69.9429184965991,0.9239804608189361,1.098660794597727,B,564,Incorrect
2,new_learn,10,57,B,72.32320461489272,88.8901761049548,3.6161602307446357,1.3962836211381449,C,2224,Incorrect
2,new_learn,10,58,C,96.05261294353394,39.68430402565762,4.802630647176698,0.6233595899491492,D,1316,Incorrect
2,new_learn,10,59,B,25.816807762816232,71.2280612327812,1.2908403881408117,1.118847769491747,A,540,Incorrect
2,new_learn,10,60,D,28.81193672216374,39.68850543239304,1.440596836108187,0.6234255854918229,B,2672,Incorrect
2,new_learn,10,61,A,40.552198006042545,44.074541465351096,2.027609900302127,0.6923212783894286,C,1325,Incorrect
2,new_learn,10,62,C,82.5533370029556,34.27425256739921,4.127666850147779,0.5383787003651123,D,659,Incorrect
2,new_learn,10,63,D,50.96201045124966,-1.5453834709743681,2.548100522562483,-0.02427482679696085,C,10077,Incorrect
2,new_learn,10,64,A,14.652459682200806,43.73249335974246,0.7326229841100402,0.6869483993106567,A,677,Correct
