experiment,condition,subject,trial,cat,x,y,xt,yt,resp,rt,fb
2,new_learn,6,0,B,40.95835467709727,80.78117281600127,2.0479177338548635,1.2689076953355853,D,9559,Incorrect
2,new_learn,6,1,A,7.336119330835661,51.66010409354081,0.36680596654178305,0.811475017519759,B,20028,Incorrect
2,new_learn,6,2,B,34.09004416795718,68.75784664679888,1.7045022083978592,1.0800457295111847,D,7489,Incorrect
2,new_learn,6,3,D,25.667929982868547,13.938831195168033,1.2833964991434275,0.21895064841184061,C,1981,Incorrect
2,new_learn,6,4,C,68.31562051271648,63.854050333184404,3.4157810256358236,1.003017077143425,D,1957,Incorrect
2,new_learn,6,5,D,32.60812495435998,43.86465134117266,1.630406247717999,0.6890243320285284,B,1124,Incorrect
2,new_learn,6,6,C,94.205885978813,66.79776335576346,4.71029429894065,1.0492568131734799,D,1430,Incorrect
2,new_learn,6,7,D,64.13248757984226,29.40233356049385,3.2066243789921134,0.46185077556022053,D,1103,Correct
2,new_learn,6,8,D,48.90071965692358,-1.114833312938977,2.445035982846179,-0.017511760729531305,C,2701,Incorrect
2,new_learn,6,9,B,43.61215958710726,95.87059776549759,2.180607979355363,1.5059318281767462,A,918,Incorrect
2,new_learn,6,10,B,41.73787268198614,70.74479824950902,2.086893634099307,1.111256692301748,D,1245,Incorrect
2,new_learn,6,11,A,19.720871650146513,31.407495816021246,0.9860435825073256,0.49334779061632256,B,1190,Incorrect
2,new_learn,6,12,C,83.29113951474667,64.63739818205669,4.164556975737334,1.0153218763795377,C,5347,Correct
2,new_learn,6,13,B,61.424839591368396,53.911073422644435,3.0712419795684194,0.8468331610585984,C,696,Incorrect
2,new_learn,6,14,D,47.83015760662967,9.59201560631783,2.391507880331483,0.15067102880963368,D,772,Correct
2,new_learn,6,15,D,29.665292396093545,27.165335625199873,1.483264619804677,0.4267120941621451,B,1128,Incorrect
2,new_learn,6,16,C,64.65002242998952,61.117617618060954,3.232501121499476,0.960033292569052,D,867,Incorrect
2,new_learn,6,17,C,85.78899772698662,37.56036275565842,4.289449886349331,0.5899967984967208,C,577,Correct
2,new_learn,6,18,B,66.87591649859067,95.07840185569094,3.343795824929533,1.4934880439244842,B,1282,Correct
2,new_learn,6,19,C,56.34817333860265,66.284543931033,2.8174086669301324,1.041195181301416,D,3303,Incorrect
2,new_learn,6,20,A,42.687629463012414,49.20328431685818,2.1343814731506203,0.7728833827116576,A,901,Correct
2,new_learn,6,21,B,56.901748167888485,87.37282259114545,2.8450874083944244,1.372449087878734,C,1005,Incorrect
